"","row","column","n_celulas","n_amas","n_cels_infec","mean_ama_cel","n_cels_infec_percentual","composto","conc","pop","ama_noninf","corrected_ama","ama_per_cell"
"27","D",6,2169,15997,1549,10.33,71.42,"SbIII",5,"C44",699,15298,7.05301982480406
"28","E",6,2043,11178,1434,7.795,70.19,"SbIII",15,"C44",464,10714,5.24424865394028
"29","F",6,1310,6872,954,7.203,72.82,"SbIII",30,"C44",401,6471,4.93969465648855
"30","G",6,937,5075,688,7.376,73.43,"SbIII",50,"C44",237,4838,5.1632870864461
"31","G",7,892,3195,570,5.605,63.9,"SbIII",50,"C58",1548,1647,1.84641255605381
"32","F",7,1249,8549,919,9.303,73.58,"SbIII",35,"C58",758,7791,6.23779023218575
"33","E",7,1391,8458,997,8.483,71.68,"SbIII",15,"C58",699,7759,5.57800143781452
"34","D",7,1939,14481,1455,9.953,75.04,"SbIII",5,"C58",464,14017,7.22898401237751
"35","C",7,2141,13516,1517,8.91,70.85,"SbIII",1.5,"C58",401,13115,6.12564222326016
"36","B",7,2120,10358,1356,7.639,63.96,"SbIII",0,"C58",237,10121,4.77405660377358
"37","B",8,2355,12485,1575,7.927,66.88,"SbIII",0,"C67",1548,10937,4.64416135881104
"38","C",8,2561,17708,1762,10.05,68.8,"SbIII",1.5,"C67",758,16950,6.61850839515814
"39","D",8,2271,15575,1636,9.52,72.04,"SbIII",5,"C67",699,14876,6.55041831792162
"40","E",8,1281,5854,912,6.419,71.19,"SbIII",15,"C67",464,5390,4.20765027322404
"41","F",8,960,3553,671,5.295,69.9,"SbIII",30,"C67",401,3152,3.28333333333333
"42","G",8,380,785,216,3.634,56.84,"SbIII",50,"C67",237,548,1.44210526315789
"43","G",9,499,1312,320,4.1,64.13,"SbIII",50,"C73",1548,0,0
"44","F",9,1151,6254,899,6.957,78.11,"SbIII",35,"C73",758,5496,4.77497827975673
"45","E",9,1352,7302,1019,7.166,75.37,"SbIII",15,"C73",699,6603,4.88387573964497
"46","D",9,2492,16306,1824,8.94,73.19,"SbIII",5,"C73",464,15842,6.35714285714286
"47","C",9,2504,15299,1783,8.58,71.21,"SbIII",1.5,"C73",401,14898,5.94968051118211
"48","B",9,2415,11645,1590,7.324,65.84,"SbIII",0,"C73",237,11408,4.72380952380952
"49","B",10,2393,11305,1286,8.791,53.74,"SbIII",0,"C85",1548,9757,4.07730881738404
"50","C",10,2438,13687,1523,8.987,62.47,"SbIII",1.5,"C85",758,12929,5.30311730926989
"51","D",10,1981,12221,1245,9.816,62.85,"SbIII",5,"C85",699,11522,5.81625441696113
"52","E",10,1471,9505,980,9.699,66.62,"SbIII",15,"C85",464,9041,6.14615907545887
"53","F",10,1102,5710,761,7.503,69.06,"SbIII",30,"C85",401,5309,4.81760435571688
"54","G",10,551,1266,288,4.396,52.27,"SbIII",50,"C85",237,1029,1.86751361161525
"55","G",11,443,1427,300,4.757,67.72,"SbIII",50,"C76 - PGPA",1548,0,0
"56","F",11,936,5606,683,8.208,72.97,"SbIII",35,"C76 - PGPA",758,4848,5.17948717948718
"57","E",11,1452,7705,965,7.984,66.46,"SbIII",15,"C76 - PGPA",699,7006,4.82506887052342
"58","D",11,1709,10968,1102,9.953,64.48,"SbIII",5,"C76 - PGPA",464,10504,6.14628437682855
"59","C",11,2106,10119,1180,8.575,56.03,"SbIII",1.5,"C76 - PGPA",401,9718,4.61443494776828
"60","B",11,2104,8927,1154,7.736,54.85,"SbIII",0,"C76 - PGPA",237,8690,4.13022813688213
