"pop","Cntrl_ama_per_cell","X","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","n_amas.y","corrected_ama","ama_per_cell","experiment","viability","mean_value"
"C7",13.7903225806452,105,"E",9,177,569,125,3.215,"MILT","5",34,535,4.28,"EXP 2",31.0362573099414,39.6276944572228
"C7",13.7903225806452,106,"D",9,158,875,116,5.538,"MILT","2.5",234,641,5.52586206896552,"EXP 2",40.0705787457148,54.6522970021338
"C7",13.7903225806452,107,"C",9,154,1071,114,6.955,"MILT","1.25",158,913,8.00877192982456,"EXP 2",58.0753052221195,88.6241628090396
"C7",13.7903225806452,108,"B",9,233,2718,186,11.67,"MILT","0",153,2565,13.7903225806452,"EXP 2",100,100
"C73",30.0426356589147,109,"B",10,344,7904,258,22.98,"MILT","0",153,7751,30.0426356589147,"EXP 2",100,100
"C73",30.0426356589147,110,"C",10,259,1553,195,5.996,"MILT","1.25",158,1395,7.15384615384615,"EXP 2",23.8123120589899,99.8575087135984
"C73",30.0426356589147,111,"D",10,151,620,105,4.106,"MILT","2.5",234,386,3.67619047619048,"EXP 2",12.2365777687672,43.537272268328
"C73",30.0426356589147,112,"E",10,161,480,118,2.981,"MILT","5",34,446,3.77966101694915,"EXP 2",12.5809900964118,34.7509562123748
"C73",30.0426356589147,113,"F",10,112,394,81,3.518,"MILT","10",105,289,3.5679012345679,"EXP 2",11.8761259001228,22.7637102041411
"C73",30.0426356589147,114,"G",10,55,98,37,1.782,"MILT","20",62,36,0.972972972972973,"EXP 2",3.23864052415207,16.103799199948
"REF",22.3446808510638,91,"G",7,56,68,21,1.214,"MILT","20",62,6,0.285714285714286,"EXP 2",1.27866800881465,18.4566377661762
"REF",22.3446808510638,92,"F",7,164,488,102,2.976,"MILT","10",105,383,3.75490196078431,"EXP 2",16.804455547216,26.1357883018365
"REF",22.3446808510638,93,"E",7,239,941,177,3.937,"MILT","5",34,907,5.12429378531073,"EXP 2",22.9329468586559,26.2275949699261
"REF",22.3446808510638,94,"D",7,264,1329,180,5.034,"MILT","2.5",234,1095,6.08333333333333,"EXP 2",27.2249730210119,38.5606492279178
"REF",22.3446808510638,95,"C",7,277,1895,213,6.841,"MILT","1.25",158,1737,8.15492957746479,"EXP 2",36.4960664769421,76.2442942287075
"REF",22.3446808510638,96,"B",7,312,5404,235,17.32,"MILT","0",153,5251,22.3446808510638,"EXP 2",100,100
"C44",9.88667141838917,140,"F",5,1721,2795,856,1.624,"MILT","10",1340,1455,1.69976635514019,"EXP 3",17.1925037579243,28.2641000767719
"C44",9.88667141838917,141,"E",5,1354,2812,777,2.077,"MILT","5",723,2089,2.68854568854569,"EXP 3",27.1936385338447,28.6914507407091
"C44",9.88667141838917,142,"D",5,1628,2946,812,1.81,"MILT","2.5",483,2463,3.03325123152709,"EXP 3",30.6802067466838,41.7755316104934
"C44",9.88667141838917,143,"C",5,2195,12213,1468,5.564,"MILT","1.25",752,11461,7.80722070844687,"EXP 3",78.9671303723665,86.9434696214609
"C44",9.88667141838917,144,"B",5,1924,14650,1403,7.614,"MILT","0",779,13871,9.88667141838917,"EXP 3",100,100
"C58",7.34669811320755,175,"G",11,1218,1877,677,1.541,"MILT","20",1501,376,0.555391432791728,"EXP 3",7.55974213495,26.5907146887337
"C58",7.34669811320755,176,"F",11,1063,1979,625,1.862,"MILT","10",1340,639,1.0224,"EXP 3",13.916455858748,39.8117149109901
"C58",7.34669811320755,177,"E",11,805,1270,444,1.578,"MILT","5",723,547,1.23198198198198,"EXP 3",16.7691929489682,36.3030758213946
"C58",7.34669811320755,178,"D",11,1054,1536,509,1.457,"MILT","2.5",483,1053,2.06876227897839,"EXP 3",28.1590756432371,47.5684275203723
"C58",7.34669811320755,179,"C",11,1361,9572,994,7.033,"MILT","1.25",752,8820,8.87323943661972,"EXP 3",120.778604209527,96.9296537301718
"C58",7.34669811320755,180,"B",11,1233,7009,848,5.685,"MILT","0",779,6230,7.34669811320755,"EXP 3",100,100
"C6",13.6637596899225,163,"G",9,1499,4464,955,2.978,"MILT","20",1501,2963,3.10261780104712,"EXP 3",22.7069113586315,40.0491175321576
"C6",13.6637596899225,164,"F",9,1325,6352,920,4.794,"MILT","10",1340,5012,5.44782608695652,"EXP 3",39.8706228050431,52.6835678531626
"C6",13.6637596899225,165,"E",9,1090,7193,811,6.599,"MILT","5",723,6470,7.97780517879162,"EXP 3",58.3866033934681,70.9979009048729
"C6",13.6637596899225,166,"D",9,1069,7208,748,6.743,"MILT","2.5",483,6725,8.99064171122995,"EXP 3",65.7991791077888,84.0350362169988
"C6",13.6637596899225,167,"C",9,1242,11872,880,9.559,"MILT","1.25",752,11120,12.6363636363636,"EXP 3",92.4808685393037,87.665813118613
"C6",13.6637596899225,168,"B",9,1256,14880,1032,11.85,"MILT","0",779,14101,13.6637596899225,"EXP 3",100,100
"C67",8.10982658959538,169,"B",10,1201,7794,865,6.49,"MILT","0",779,7015,8.10982658959538,"EXP 3",100,100
