"pop","Cntrl_ama_per_cell","X","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","n_amas.y","corrected_ama","ama_per_cell","experiment","viability","mean_value","mean_normalized","viability_normalized"
"C44",4.06734006734007,28,"E",6,500,2366,297,4.732,"SbIII",35,21,2345,4.69,"EXP 1",115.308774834437,70.4738225050446,55.2014984143218,90.3203051136461
"C44",4.06734006734007,29,"F",6,377,1485,196,3.939,"SbIII",65,15,1470,3.89920424403183,"EXP 1",95.8661970593918,42.1634055915302,29.1951342458358,66.3804655606122
"C44",4.06734006734007,30,"G",6,335,370,121,1.104,"SbIII",100,16,354,1.05671641791045,"EXP 1",25.9805278244539,10.3817071968272,0,0
"C44",4.93518518518519,73,"B",4,216,1070,130,4.954,"SbIII",0,4,1066,4.93518518518519,"EXP 2",100,100,82.3246780828845,82.3246780828845
"C44",4.93518518518519,74,"C",4,118,424,51,3.593,"SbIII",10,3,421,3.56779661016949,"EXP 2",72.2930645212579,119.241279915648,100,60.6275482554351
"C44",4.93518518518519,75,"D",4,68,129,32,1.897,"SbIII",25,6,123,1.80882352941176,"EXP 2",36.6515837104071,71.2651941698947,55.9284640316628,28.7639261371286
"C44",4.93518518518519,76,"E",4,91,181,45,1.989,"SbIII",35,7,174,1.91208791208791,"EXP 2",38.7439952167906,70.4738225050446,55.2014984143218,30.3478158910859
"C44",4.93518518518519,77,"F",4,62,33,19,0.5323,"SbIII",65,1,32,0.516129032258065,"EXP 2",10.4581492465049,42.1634055915302,29.1951342458358,7.2415182533555
"C44",4.93518518518519,78,"G",4,31,15,10,0.4839,"SbIII",100,3,12,0.387096774193548,"EXP 2",7.84361193487864,10.3817071968272,0,0
"C44",5.74869927159209,139,"G",5,271,345,130,1.273,"SbIII",100,225,120,0.44280442804428,"EXP 3",7.70268902797634,10.3817071968272,0,0
"C44",5.74869927159209,140,"F",5,482,1634,300,3.39,"SbIII",65,188,1446,3,"EXP 3",52.1857181645398,42.1634055915302,29.1951342458358,36.1348668627267
"C44",5.74869927159209,141,"E",5,781,4242,566,5.431,"SbIII",35,448,3794,4.85787451984635,"EXP 3",84.5038901904669,70.4738225050446,55.2014984143218,66.1911216752742
"C44",5.74869927159209,142,"D",5,1276,6685,920,5.239,"SbIII",25,437,6248,4.89655172413793,"EXP 3",85.1766894179845,71.2651941698947,55.9284640316628,66.8461156380639
"C44",5.74869927159209,143,"C",5,1818,15177,1372,8.348,"SbIII",10,436,14741,8.10836083608361,"EXP 3",141.046877789417,119.241279915648,100,118.286953888112
"C44",5.74869927159209,144,"B",5,1922,11407,1305,5.935,"SbIII",0,358,11049,5.74869927159209,"EXP 3",100,100,82.3246780828845,82.3246780828845
"C44",12.7795031055901,235,"G",11,49,35,21,0.7143,"SbIII",100,81,0,0,"EXP 4",0,10.3817071968272,0,0
"C44",12.7795031055901,236,"F",11,54,113,31,2.093,"SbIII",65,43,70,1.2962962962963,"EXP 4",10.1435578956843,42.1634055915302,29.1951342458358,7.02368630664882
"C44",12.7795031055901,237,"E",11,78,468,57,6,"SbIII",35,36,432,5.53846153846154,"EXP 4",43.3386297784839,70.4738225050446,55.2014984143218,33.9467509772811
"C44",12.7795031055901,238,"D",11,86,485,61,5.64,"SbIII",25,267,218,2.53488372093023,"EXP 4",19.8355421176071,71.2651941698947,55.9284640316628,15.5668053219416
"C44",12.7795031055901,239,"C",11,1168,17430,1004,14.92,"SbIII",10,386,17044,14.5924657534247,"EXP 4",114.186487791075,119.241279915648,100,95.7608706245448
"C44",12.7795031055901,240,"B",11,966,12678,840,13.12,"SbIII",0,333,12345,12.7795031055901,"EXP 4",100,100,82.3246780828845,82.3246780828845
"C58",3.75105042016807,31,"G",7,472,683,167,1.447,"SbIII",100,16,667,1.41313559322034,"EXP 1",37.6730631404582,26.4891590295154,0,0
"C58",3.75105042016807,32,"F",7,312,705,147,2.26,"SbIII",65,15,690,2.21153846153846,"EXP 1",58.9578441720698,35.3572040799572,9.98866915357412,16.6560228606033
"C58",3.75105042016807,33,"E",7,536,1098,270,2.049,"SbIII",35,21,1077,2.00932835820896,"EXP 1",53.56708476659,47.7121049647462,23.9048160226306,26.8382899299904
"C58",3.75105042016807,34,"D",7,451,2243,302,4.973,"SbIII",25,8,2235,4.95565410199557,"EXP 1",132.113769395121,69.692738991546,48.6630665536829,92.2486509464431
"C58",3.75105042016807,35,"C",7,841,4582,482,5.448,"SbIII",10,12,4570,5.43400713436385,"EXP 1",144.866278126978,115.27020597478,100,125.675387583391
"C58",3.75105042016807,36,"B",7,952,3602,415,3.784,"SbIII",0,31,3571,3.75105042016807,"EXP 1",100,100,82.8001510455329,82.8001510455329
"C58",3.59477124183007,85,"B",6,153,554,84,3.621,"SbIII",0,4,550,3.59477124183007,"EXP 2",100,100,82.8001510455329,82.8001510455329
"C58",3.59477124183007,86,"C",6,114,507,74,4.447,"SbIII",10,3,504,4.42105263157895,"EXP 2",122.985645933014,115.27020597478,100,106.693351411137
"C58",3.59477124183007,87,"D",6,56,20,11,0.3571,"SbIII",25,6,14,0.25,"EXP 2",6.95454545454545,69.692738991546,48.6630665536829,4.85602249534505
"C58",3.59477124183007,88,"E",6,79,94,30,1.19,"SbIII",35,7,87,1.10126582278481,"EXP 2",30.6352128883774,47.7121049647462,23.9048160226306,15.3489167675979
"C58",3.59477124183007,89,"F",6,58,45,14,0.7759,"SbIII",65,1,44,0.758620689655172,"EXP 2",21.103448275862,35.3572040799572,9.98866915357412,5.96187872633974
"C58",3.59477124183007,90,"G",6,25,14,6,0.56,"SbIII",100,3,11,0.44,"EXP 2",12.24,26.4891590295154,0,0
"C58",4.57838283828383,175,"G",11,349,1011,217,2.897,"SbIII",100,225,786,2.25214899713467,"EXP 3",49.1909278163132,26.4891590295154,0,0
