"","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","pop","n_amas.y","corrected_ama","ama_per_cell","experiment"
"106","D",9,277,1115,188,4.025,"ANF",0.62,"C7",127,988,5.25531914893617,"EXP 2"
"107","C",9,296,1077,202,3.639,"ANF",0.15,"C7",158,919,4.54950495049505,"EXP 2"
"108","B",9,301,2781,224,9.239,"ANF",0,"C7",0,2781,12.4151785714286,"EXP 2"
"109","B",10,313,4634,249,14.81,"ANF",0,"C73",0,4634,18.6104417670683,"EXP 2"
"110","C",10,273,2119,221,7.762,"ANF",0.15,"C73",158,1961,8.87330316742081,"EXP 2"
"111","D",10,166,434,113,2.614,"ANF",0.62,"C73",127,307,2.71681415929204,"EXP 2"
"112","E",10,155,334,111,2.155,"ANF",1.2,"C73",75,259,2.33333333333333,"EXP 2"
"113","F",10,273,330,148,1.209,"ANF",3,"C73",285,45,0.304054054054054,"EXP 2"
"114","G",10,201,258,113,1.284,"ANF",5,"C73",63,195,1.72566371681416,"EXP 2"
"115","G",11,146,115,66,0.7877,"ANF",5,"C85",63,52,0.787878787878788,"EXP 2"
"116","F",11,127,151,61,1.189,"ANF",3,"C85",285,0,0,"EXP 2"
"117","E",11,277,706,165,2.549,"ANF",1.2,"C85",75,631,3.82424242424242,"EXP 2"
"118","D",11,126,204,58,1.619,"ANF",0.62,"C85",127,77,1.32758620689655,"EXP 2"
"119","C",11,162,513,104,3.167,"ANF",0.15,"C85",158,355,3.41346153846154,"EXP 2"
"120","B",11,193,2944,150,15.25,"ANF",0,"C85",0,2944,19.6266666666667,"EXP 2"
"121","B",2,1796,10754,1126,5.988,"ANF",0,"C7",583,10171,9.03285968028419,"EXP 3"
"122","C",2,2096,7732,1210,3.689,"ANF",0.15,"C7",602,7130,5.89256198347107,"EXP 3"
"123","D",2,1946,5767,850,2.964,"ANF",0.62,"C7",364,5403,6.35647058823529,"EXP 3"
"124","E",2,1672,2877,657,1.721,"ANF",1.2,"C7",468,2409,3.66666666666667,"EXP 3"
"125","F",2,1550,1165,468,0.7516,"ANF",3,"C7",273,892,1.90598290598291,"EXP 3"
"126","G",2,1136,971,443,0.8548,"ANF",5,"C7",172,799,1.80361173814898,"EXP 3"
"127","G",3,1911,1031,563,0.5395,"ANF",5,"C73",172,859,1.52575488454707,"EXP 3"
"128","F",3,1823,1040,457,0.5705,"ANF",3,"C73",273,767,1.67833698030635,"EXP 3"
"129","E",3,1783,1025,420,0.5749,"ANF",1.2,"C73",468,557,1.32619047619048,"EXP 3"
"130","D",3,2094,2116,649,1.011,"ANF",0.62,"C73",364,1752,2.69953775038521,"EXP 3"
"131","C",3,2339,4000,928,1.71,"ANF",0.15,"C73",602,3398,3.66163793103448,"EXP 3"
"132","B",3,1997,11558,1275,5.788,"ANF",0,"C73",583,10975,8.6078431372549,"EXP 3"
"133","B",4,1790,8175,989,4.567,"ANF",0,"C76",583,7592,7.67644084934277,"EXP 3"
"134","C",4,1926,4663,961,2.421,"ANF",0.15,"C76",602,4061,4.2258064516129,"EXP 3"
"135","D",4,1777,3473,687,1.954,"ANF",0.62,"C76",364,3109,4.5254730713246,"EXP 3"
"136","E",4,1640,2956,712,1.802,"ANF",1.2,"C76",468,2488,3.49438202247191,"EXP 3"
"137","F",4,1739,3558,856,2.046,"ANF",3,"C76",273,3285,3.83761682242991,"EXP 3"
"138","G",4,1737,2919,886,1.68,"ANF",5,"C76",172,2747,3.10045146726862,"EXP 3"
"139","G",5,1563,1359,604,0.8695,"ANF",5,"C44",172,1187,1.96523178807947,"EXP 3"
"140","F",5,2093,1324,619,0.6326,"ANF",3,"C44",273,1051,1.69789983844911,"EXP 3"
"141","E",5,1679,1626,578,0.9684,"ANF",1.2,"C44",468,1158,2.00346020761246,"EXP 3"
"142","D",5,2168,2023,590,0.9331,"ANF",0.62,"C44",364,1659,2.81186440677966,"EXP 3"
"143","C",5,2050,4064,921,1.982,"ANF",0.15,"C44",602,3462,3.75895765472313,"EXP 3"
"144","B",5,1948,15993,1384,8.21,"ANF",0,"C44",583,15410,11.1343930635838,"EXP 3"
"145","B",6,2432,7704,1175,3.168,"ANF",0,"REF",583,7121,6.06042553191489,"EXP 3"
"146","C",6,2075,5281,1017,2.545,"ANF",0.15,"REF",602,4679,4.6007866273353,"EXP 3"
"147","D",6,1886,2931,759,1.554,"ANF",0.62,"REF",364,2567,3.38208168642951,"EXP 3"
"148","E",6,2047,2267,660,1.107,"ANF",1.2,"REF",468,1799,2.72575757575758,"EXP 3"
"149","F",6,2124,2418,839,1.138,"ANF",3,"REF",273,2145,2.55661501787843,"EXP 3"
"150","G",6,1882,1882,708,1,"ANF",5,"REF",172,1710,2.41525423728814,"EXP 3"
"151","G",7,1573,903,443,0.5741,"ANF",5,"C85",172,731,1.65011286681716,"EXP 3"
"152","F",7,1919,1508,588,0.7858,"ANF",3,"C85",273,1235,2.10034013605442,"EXP 3"
"153","E",7,1926,2919,715,1.516,"ANF",1.2,"C85",468,2451,3.42797202797203,"EXP 3"
"154","D",7,1964,1945,601,0.9903,"ANF",0.62,"C85",364,1581,2.630615640599,"EXP 3"
"155","C",7,2330,4163,898,1.787,"ANF",0.15,"C85",602,3561,3.96547884187082,"EXP 3"
"156","B",7,1906,14544,1287,7.631,"ANF",0,"C85",583,13961,10.8477078477078,"EXP 3"
"157","B",8,1656,583,316,0.3521,"ANF",0,"THP-1",583,0,0,"EXP 3"
"158","C",8,1726,602,360,0.3488,"ANF",0.15,"THP-1",602,0,0,"EXP 3"
"159","D",8,2053,364,234,0.1773,"ANF",0.62,"THP-1",364,0,0,"EXP 3"
"160","E",8,1289,468,247,0.3631,"ANF",1.2,"THP-1",468,0,0,"EXP 3"
"161","F",8,1689,273,172,0.1616,"ANF",3,"THP-1",273,0,0,"EXP 3"
"162","G",8,1865,172,137,0.09223,"ANF",5,"THP-1",172,0,0,"EXP 3"
"163","G",9,1541,2393,793,1.553,"ANF",5,"C6",172,2221,2.80075662042875,"EXP 3"
"164","F",9,1588,2949,889,1.857,"ANF",3,"C6",273,2676,3.01012373453318,"EXP 3"
"165","E",9,1469,1784,595,1.214,"ANF",1.2,"C6",468,1316,2.21176470588235,"EXP 3"
"166","D",9,2029,4166,813,2.053,"ANF",0.62,"C6",364,3802,4.67650676506765,"EXP 3"
"167","C",9,2353,6925,1291,2.943,"ANF",0.15,"C6",602,6323,4.89775367931836,"EXP 3"
"168","B",9,1640,21757,1273,13.27,"ANF",0,"C6",583,21174,16.6331500392773,"EXP 3"
"169","B",10,1868,15653,1391,8.38,"ANF",0,"C67",583,15070,10.8339324227175,"EXP 3"
"170","C",10,2124,2434,716,1.146,"ANF",0.15,"C67",602,1832,2.5586592178771,"EXP 3"
"171","D",10,2227,1650,537,0.7409,"ANF",0.62,"C67",364,1286,2.39478584729981,"EXP 3"
"172","E",10,1659,1153,479,0.695,"ANF",1.2,"C67",468,685,1.43006263048017,"EXP 3"
"173","F",10,1351,1376,562,1.019,"ANF",3,"C67",273,1103,1.9626334519573,"EXP 3"
"174","G",10,898,537,283,0.598,"ANF",5,"C67",172,365,1.28975265017668,"EXP 3"
"175","G",11,1676,665,373,0.3968,"ANF",5,"C58",172,493,1.32171581769437,"EXP 3"
"176","F",11,1618,605,333,0.3739,"ANF",3,"C58",273,332,0.996996996996997,"EXP 3"
"177","E",11,1263,524,269,0.4149,"ANF",1.2,"C58",468,56,0.20817843866171,"EXP 3"
"178","D",11,1926,1303,449,0.6765,"ANF",0.62,"C58",364,939,2.0913140311804,"EXP 3"
