"","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","pop","n_amas.y","corrected_ama","ama_per_cell","experiment","gene"
"51","D",10,708,8680,518,12.26,"MILT",2.5,"C89",178,8502,16.4131274131274,"EXP 1","GSH1"
"52","E",10,673,1539,336,2.287,"MILT",5,"C89",225,1314,3.91071428571429,"EXP 1","GSH1"
"53","F",10,539,1559,320,2.892,"MILT",10,"C89",233,1326,4.14375,"EXP 1","GSH1"
"54","G",10,375,747,209,1.992,"MILT",20,"C89",69,678,3.24401913875598,"EXP 1","GSH1"
"55","G",11,457,1587,321,3.473,"MILT",20,"C85",69,1518,4.72897196261682,"EXP 1","GSH1"
"56","F",11,491,2275,361,4.633,"MILT",10,"C85",233,2042,5.65650969529086,"EXP 1","GSH1"
"57","E",11,548,2539,417,4.633,"MILT",5,"C85",225,2314,5.54916067146283,"EXP 1","GSH1"
"58","D",11,625,6328,491,10.12,"MILT",2.5,"C85",178,6150,12.5254582484725,"EXP 1","GSH1"
"59","C",11,438,10695,374,24.42,"MILT",1.25,"C85",115,10580,28.2887700534759,"EXP 1","GSH1"
"60","B",11,683,10852,482,15.89,"MILT",0,"C85",217,10635,22.0643153526971,"EXP 1","GSH1"
"61","B",2,114,153,60,1.342,"MILT",0,"THP-1",153,0,0,"EXP 2","GSH1"
"62","C",2,142,158,70,1.113,"MILT",1.25,"THP-1",158,0,0,"EXP 2","GSH1"
"63","D",2,130,234,76,1.8,"MILT",2.5,"THP-1",234,0,0,"EXP 2","GSH1"
"64","E",2,89,34,22,0.382,"MILT",5,"THP-1",34,0,0,"EXP 2","GSH1"
"65","F",2,80,105,37,1.313,"MILT",10,"THP-1",105,0,0,"EXP 2","GSH1"
"66","G",2,60,62,28,1.033,"MILT",20,"THP-1",62,0,0,"EXP 2","GSH1"
"67","G",3,88,585,61,6.648,"MILT",20,"C76",62,523,8.57377049180328,"EXP 2","GSH1"
"68","F",3,201,1745,157,8.682,"MILT",10,"C76",105,1640,10.4458598726115,"EXP 2","GSH1"
"69","E",3,214,1250,169,5.841,"MILT",5,"C76",34,1216,7.19526627218935,"EXP 2","GSH1"
"70","D",3,213,1798,175,8.441,"MILT",2.5,"C76",234,1564,8.93714285714286,"EXP 2","GSH1"
"71","C",3,241,3506,197,14.55,"MILT",1.25,"C76",158,3348,16.994923857868,"EXP 2","GSH1"
"72","B",3,393,8169,314,20.79,"MILT",0,"C76",153,8016,25.5286624203822,"EXP 2","GSH1"
"73","B",4,342,6455,262,18.87,"MILT",0,"C44",153,6302,24.0534351145038,"EXP 2","GSH1"
"74","C",4,179,1515,148,8.464,"MILT",1.25,"C44",158,1357,9.16891891891892,"EXP 2","GSH1"
"75","D",4,286,2447,232,8.556,"MILT",2.5,"C44",234,2213,9.53879310344828,"EXP 2","GSH1"
"76","E",4,139,452,98,3.252,"MILT",5,"C44",34,418,4.26530612244898,"EXP 2","GSH1"
"77","F",4,158,906,125,5.734,"MILT",10,"C44",105,801,6.408,"EXP 2","GSH1"
"78","G",4,63,187,39,2.968,"MILT",20,"C44",62,125,3.20512820512821,"EXP 2","GSH1"
"79","G",5,152,1257,135,8.27,"MILT",20,"C6",62,1195,8.85185185185185,"EXP 2","GSH1"
"80","F",5,138,1975,126,14.31,"MILT",10,"C6",105,1870,14.8412698412698,"EXP 2","GSH1"
"81","E",5,239,3887,206,16.26,"MILT",5,"C6",34,3853,18.7038834951456,"EXP 2","GSH1"
"82","D",5,222,3734,192,16.82,"MILT",2.5,"C6",234,3500,18.2291666666667,"EXP 2","GSH1"
"83","C",5,238,3311,214,13.91,"MILT",1.25,"C6",158,3153,14.7336448598131,"EXP 2","GSH1"
"84","B",5,265,5750,236,21.7,"MILT",0,"C6",153,5597,23.7161016949153,"EXP 2","GSH1"
"85","B",6,205,1162,142,5.668,"MILT",0,"C58",153,1009,7.1056338028169,"EXP 2","GSH1"
"86","C",6,231,1188,168,5.143,"MILT",1.25,"C58",158,1030,6.13095238095238,"EXP 2","GSH1"
"87","D",6,185,503,123,2.719,"MILT",2.5,"C58",234,269,2.1869918699187,"EXP 2","GSH1"
"88","E",6,214,590,138,2.757,"MILT",5,"C58",34,556,4.02898550724638,"EXP 2","GSH1"
