"pop","Cntrl_ama_per_cell","X","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","n_amas.y","corrected_ama","ama_per_cell","experiment","gene","viability","mean_value","mean_normalized","viability_normalized"
"C7",8.28558797524315,231,"D",10,1753,1599,483,0.9122,"ANF",0.62,776,823,1.70393374741201,"EXP 4","GSH1",20.5650311420658,52.3632346804048,41.0576485556891,16.1248980572186
"C7",8.28558797524315,232,"E",10,889,873,311,0.982,"ANF",1.2,251,622,2,"EXP 4","GSH1",24.1382990075766,46.7230500706117,34.0788845432537,17.6060061084743
"C7",8.28558797524315,233,"F",10,564,592,240,1.05,"ANF",3,310,282,1.175,"EXP 4","GSH1",14.1812506669512,26.8391362447684,9.4759412294442,5.00689353988581
"C7",8.28558797524315,234,"G",10,516,425,208,0.8236,"ANF",5,290,135,0.649038461538462,"EXP 4","GSH1",7.83334222601644,19.1807517815052,0,0
"C44",33.0189655172414,25,"B",6,700,19526,580,27.89,"ANF",0,375,19151,33.0189655172414,"EXP 1","GSH1",100,100,100,100
"C44",33.0189655172414,26,"C",6,623,6712,464,10.77,"ANF",0.15,215,6497,14.0021551724138,"EXP 1","GSH1",42.4064017544776,46.7826372222298,34.8680718067027,31.6063725611519
"C44",33.0189655172414,27,"D",6,700,10198,539,14.57,"ANF",0.62,147,10051,18.6474953617811,"EXP 1","GSH1",56.4751047456166,37.7542604774314,23.8183775875469,35.6289688135053
"C44",33.0189655172414,28,"E",6,538,5013,408,9.318,"ANF",1.2,161,4852,11.8921568627451,"EXP 1","GSH1",36.016140046954,31.4670731799085,16.1235838167604,18.4545047924579
"C44",33.0189655172414,29,"F",6,492,3218,400,6.541,"ANF",3,98,3120,7.8,"EXP 1","GSH1",23.6227873218109,22.617171603547,5.29232266621533,5.52763249860992
"C44",33.0189655172414,30,"G",6,526,2072,370,3.939,"ANF",5,104,1968,5.31891891891892,"EXP 1","GSH1",16.1086782568689,18.2929720430927,0,0
"C44",7.59701492537313,73,"B",4,193,1018,134,5.275,"ANF",0,0,1018,7.59701492537313,"EXP 2","GSH1",100,100,100,100
"C44",7.59701492537313,74,"C",4,326,1543,198,4.733,"ANF",0.15,158,1385,6.99494949494949,"EXP 2","GSH1",92.074973705622,46.7826372222298,34.8680718067027,68.6253914997841
"C44",7.59701492537313,75,"D",4,293,685,158,2.338,"ANF",0.62,127,558,3.53164556962025,"EXP 2","GSH1",46.4872796001094,37.7542604774314,23.8183775875469,29.3278576915885
"C44",7.59701492537313,76,"E",4,235,760,151,3.234,"ANF",1.2,75,685,4.5364238410596,"EXP 2","GSH1",59.7132411298612,31.4670731799085,16.1235838167604,30.5967905824326
"C44",7.59701492537313,77,"F",4,340,1167,260,3.432,"ANF",3,285,882,3.39230769230769,"EXP 2","GSH1",44.6531660873508,22.617171603547,5.29232266621533,10.448652340123
"C44",7.59701492537313,78,"G",4,244,581,173,2.381,"ANF",5,63,518,2.99421965317919,"EXP 2","GSH1",39.4131074190581,18.2929720430927,0,0
"C44",11.1343930635838,139,"G",5,1563,1359,604,0.8695,"ANF",5,172,1187,1.96523178807947,"EXP 3","GSH1",17.6501024964438,18.2929720430927,0,0
"C44",11.1343930635838,140,"F",5,2093,1324,619,0.6326,"ANF",3,273,1051,1.69789983844911,"EXP 3","GSH1",15.2491458560258,22.617171603547,5.29232266621533,3.5682357488773
"C44",11.1343930635838,141,"E",5,1679,1626,578,0.9684,"ANF",1.2,468,1158,2.00346020761246,"EXP 3","GSH1",17.9934388535733,31.4670731799085,16.1235838167604,9.21975545194908
"C44",11.1343930635838,142,"D",5,2168,2023,590,0.9331,"ANF",0.62,364,1659,2.81186440677966,"EXP 3","GSH1",25.2538633288972,37.7542604774314,23.8183775875469,15.9321370543477
"C44",11.1343930635838,143,"C",5,2050,4064,921,1.982,"ANF",0.15,602,3462,3.75895765472313,"EXP 3","GSH1",33.7598792611085,46.7826372222298,34.8680718067027,25.1619396459035
"C44",11.1343930635838,144,"B",5,1948,15993,1384,8.21,"ANF",0,583,15410,11.1343930635838,"EXP 3","GSH1",100,100,100,100
"C44",11.6037181996086,235,"G",11,184,249,96,1.353,"ANF",5,290,0,0,"EXP 4","GSH1",0,18.2929720430927,0,0
"C44",11.6037181996086,236,"F",11,331,451,175,1.363,"ANF",3,310,141,0.805714285714286,"EXP 4","GSH1",6.94358714900077,22.617171603547,5.29232266621533,1.62477007725118
"C44",11.6037181996086,237,"E",11,413,523,193,1.266,"ANF",1.2,251,272,1.40932642487047,"EXP 4","GSH1",12.1454726892455,31.4670731799085,16.1235838167604,6.22328444020206
"C44",11.6037181996086,238,"D",11,949,1956,446,2.061,"ANF",0.62,776,1180,2.6457399103139,"EXP 4","GSH1",22.8007942351025,37.7542604774314,23.8183775875469,14.3845467907463
"C44",11.6037181996086,239,"C",11,1304,1969,516,1.51,"ANF",0.15,838,1131,2.19186046511628,"EXP 4","GSH1",18.8892941677109,46.7826372222298,34.8680718067027,14.0785835199712
"C44",11.6037181996086,240,"B",11,1292,12417,1022,9.611,"ANF",0,558,11859,11.6037181996086,"EXP 4","GSH1",100,100,100,100
"C58",19.3442211055276,31,"G",7,678,2559,494,3.774,"ANF",5,104,2455,4.96963562753036,"EXP 1","GSH1",25.6905439635938,18.7425500119238,2.10922638952144,2.89113131642704
"C58",19.3442211055276,32,"F",7,623,2881,448,4.624,"ANF",3,98,2783,6.21205357142857,"EXP 1","GSH1",32.1132266713674,16.991717410048,0,0
"C58",19.3442211055276,33,"E",7,803,8813,645,10.98,"ANF",1.2,161,8652,13.4139534883721,"EXP 1","GSH1",69.3434665329537,31.1486527627151,17.0548467104182,37.9676835816207
"C58",19.3442211055276,34,"D",7,730,10352,600,14.18,"ANF",0.62,147,10205,17.0083333333333,"EXP 1","GSH1",87.9246222453133,45.8893676635664,34.8129720937226,66.7021050065023
"C58",19.3442211055276,35,"C",7,862,14641,659,16.98,"ANF",0.15,215,14426,21.8907435508346,"EXP 1","GSH1",113.164254230838,51.3172737782159,41.3519654872644,91.1888724948616
"C58",19.3442211055276,36,"B",7,536,8074,398,15.06,"ANF",0,375,7699,19.3442211055276,"EXP 1","GSH1",100,100,100,100
"C58",17.2626582278481,85,"B",6,386,5455,316,14.13,"ANF",0,0,5455,17.2626582278481,"EXP 2","GSH1",100,100,100,100
"C58",17.2626582278481,86,"C",6,332,1270,222,3.825,"ANF",0.15,158,1112,5.00900900900901,"EXP 2","GSH1",29.0164408221237,51.3172737782159,41.3519654872644,23.3817342796776
"C58",17.2626582278481,87,"D",6,329,1756,236,5.337,"ANF",0.62,127,1629,6.90254237288136,"EXP 2","GSH1",39.9853966971679,45.8893676635664,34.8129720937226,30.3340527500908
"C58",17.2626582278481,88,"E",6,352,1105,231,3.139,"ANF",1.2,75,1030,4.45887445887446,"EXP 2","GSH1",25.8295935656156,31.1486527627151,17.0548467104182,14.14249798249
"C58",17.2626582278481,89,"F",6,271,402,156,1.483,"ANF",3,285,117,0.75,"EXP 2","GSH1",4.34463794683776,16.991717410048,0,0
