"","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","pop","n_amas.y","corrected_ama","ama_per_cell","experiment","gene"
"111","D",10,166,434,113,2.614,"ANF",0.62,"C73",127,307,2.71681415929204,"EXP 2","GSH1"
"112","E",10,155,334,111,2.155,"ANF",1.2,"C73",75,259,2.33333333333333,"EXP 2","GSH1"
"113","F",10,273,330,148,1.209,"ANF",3,"C73",285,45,0.304054054054054,"EXP 2","GSH1"
"114","G",10,201,258,113,1.284,"ANF",5,"C73",63,195,1.72566371681416,"EXP 2","GSH1"
"115","G",11,146,115,66,0.7877,"ANF",5,"C85",63,52,0.787878787878788,"EXP 2","GSH1"
"116","F",11,127,151,61,1.189,"ANF",3,"C85",285,0,0,"EXP 2","GSH1"
"117","E",11,277,706,165,2.549,"ANF",1.2,"C85",75,631,3.82424242424242,"EXP 2","GSH1"
"118","D",11,126,204,58,1.619,"ANF",0.62,"C85",127,77,1.32758620689655,"EXP 2","GSH1"
"119","C",11,162,513,104,3.167,"ANF",0.15,"C85",158,355,3.41346153846154,"EXP 2","GSH1"
"120","B",11,193,2944,150,15.25,"ANF",0,"C85",0,2944,19.6266666666667,"EXP 2","GSH1"
"121","B",2,1796,10754,1126,5.988,"ANF",0,"C7",583,10171,9.03285968028419,"EXP 3","GSH1"
"122","C",2,2096,7732,1210,3.689,"ANF",0.15,"C7",602,7130,5.89256198347107,"EXP 3","GSH1"
"123","D",2,1946,5767,850,2.964,"ANF",0.62,"C7",364,5403,6.35647058823529,"EXP 3","GSH1"
"124","E",2,1672,2877,657,1.721,"ANF",1.2,"C7",468,2409,3.66666666666667,"EXP 3","GSH1"
"125","F",2,1550,1165,468,0.7516,"ANF",3,"C7",273,892,1.90598290598291,"EXP 3","GSH1"
"126","G",2,1136,971,443,0.8548,"ANF",5,"C7",172,799,1.80361173814898,"EXP 3","GSH1"
"127","G",3,1911,1031,563,0.5395,"ANF",5,"C73",172,859,1.52575488454707,"EXP 3","GSH1"
"128","F",3,1823,1040,457,0.5705,"ANF",3,"C73",273,767,1.67833698030635,"EXP 3","GSH1"
"129","E",3,1783,1025,420,0.5749,"ANF",1.2,"C73",468,557,1.32619047619048,"EXP 3","GSH1"
"130","D",3,2094,2116,649,1.011,"ANF",0.62,"C73",364,1752,2.69953775038521,"EXP 3","GSH1"
"131","C",3,2339,4000,928,1.71,"ANF",0.15,"C73",602,3398,3.66163793103448,"EXP 3","GSH1"
"132","B",3,1997,11558,1275,5.788,"ANF",0,"C73",583,10975,8.6078431372549,"EXP 3","GSH1"
"133","B",4,1790,8175,989,4.567,"ANF",0,"C76",583,7592,7.67644084934277,"EXP 3","GSH1"
"134","C",4,1926,4663,961,2.421,"ANF",0.15,"C76",602,4061,4.2258064516129,"EXP 3","GSH1"
"135","D",4,1777,3473,687,1.954,"ANF",0.62,"C76",364,3109,4.5254730713246,"EXP 3","GSH1"
"136","E",4,1640,2956,712,1.802,"ANF",1.2,"C76",468,2488,3.49438202247191,"EXP 3","GSH1"
"137","F",4,1739,3558,856,2.046,"ANF",3,"C76",273,3285,3.83761682242991,"EXP 3","GSH1"
"138","G",4,1737,2919,886,1.68,"ANF",5,"C76",172,2747,3.10045146726862,"EXP 3","GSH1"
"139","G",5,1563,1359,604,0.8695,"ANF",5,"C44",172,1187,1.96523178807947,"EXP 3","GSH1"
"140","F",5,2093,1324,619,0.6326,"ANF",3,"C44",273,1051,1.69789983844911,"EXP 3","GSH1"
"141","E",5,1679,1626,578,0.9684,"ANF",1.2,"C44",468,1158,2.00346020761246,"EXP 3","GSH1"
"142","D",5,2168,2023,590,0.9331,"ANF",0.62,"C44",364,1659,2.81186440677966,"EXP 3","GSH1"
"143","C",5,2050,4064,921,1.982,"ANF",0.15,"C44",602,3462,3.75895765472313,"EXP 3","GSH1"
"144","B",5,1948,15993,1384,8.21,"ANF",0,"C44",583,15410,11.1343930635838,"EXP 3","GSH1"
"145","B",6,2432,7704,1175,3.168,"ANF",0,"REF",583,7121,6.06042553191489,"EXP 3","GSH1"
"146","C",6,2075,5281,1017,2.545,"ANF",0.15,"REF",602,4679,4.6007866273353,"EXP 3","GSH1"
"147","D",6,1886,2931,759,1.554,"ANF",0.62,"REF",364,2567,3.38208168642951,"EXP 3","GSH1"
"148","E",6,2047,2267,660,1.107,"ANF",1.2,"REF",468,1799,2.72575757575758,"EXP 3","GSH1"
"149","F",6,2124,2418,839,1.138,"ANF",3,"REF",273,2145,2.55661501787843,"EXP 3","GSH1"
"150","G",6,1882,1882,708,1,"ANF",5,"REF",172,1710,2.41525423728814,"EXP 3","GSH1"
"151","G",7,1573,903,443,0.5741,"ANF",5,"C85",172,731,1.65011286681716,"EXP 3","GSH1"
"152","F",7,1919,1508,588,0.7858,"ANF",3,"C85",273,1235,2.10034013605442,"EXP 3","GSH1"
"153","E",7,1926,2919,715,1.516,"ANF",1.2,"C85",468,2451,3.42797202797203,"EXP 3","GSH1"
"154","D",7,1964,1945,601,0.9903,"ANF",0.62,"C85",364,1581,2.630615640599,"EXP 3","GSH1"
"155","C",7,2330,4163,898,1.787,"ANF",0.15,"C85",602,3561,3.96547884187082,"EXP 3","GSH1"
"156","B",7,1906,14544,1287,7.631,"ANF",0,"C85",583,13961,10.8477078477078,"EXP 3","GSH1"
"157","B",8,1656,583,316,0.3521,"ANF",0,"THP-1",583,0,0,"EXP 3","GSH1"
"158","C",8,1726,602,360,0.3488,"ANF",0.15,"THP-1",602,0,0,"EXP 3","GSH1"
"159","D",8,2053,364,234,0.1773,"ANF",0.62,"THP-1",364,0,0,"EXP 3","GSH1"
"160","E",8,1289,468,247,0.3631,"ANF",1.2,"THP-1",468,0,0,"EXP 3","GSH1"
"161","F",8,1689,273,172,0.1616,"ANF",3,"THP-1",273,0,0,"EXP 3","GSH1"
"162","G",8,1865,172,137,0.09223,"ANF",5,"THP-1",172,0,0,"EXP 3","GSH1"
"163","G",9,1541,2393,793,1.553,"ANF",5,"C6",172,2221,2.80075662042875,"EXP 3","GSH1"
"164","F",9,1588,2949,889,1.857,"ANF",3,"C6",273,2676,3.01012373453318,"EXP 3","GSH1"
"165","E",9,1469,1784,595,1.214,"ANF",1.2,"C6",468,1316,2.21176470588235,"EXP 3","GSH1"
"166","D",9,2029,4166,813,2.053,"ANF",0.62,"C6",364,3802,4.67650676506765,"EXP 3","GSH1"
"167","C",9,2353,6925,1291,2.943,"ANF",0.15,"C6",602,6323,4.89775367931836,"EXP 3","GSH1"
"168","B",9,1640,21757,1273,13.27,"ANF",0,"C6",583,21174,16.6331500392773,"EXP 3","GSH1"
"169","B",10,1868,15653,1391,8.38,"ANF",0,"C67",583,15070,10.8339324227175,"EXP 3","GSH1"
"170","C",10,2124,2434,716,1.146,"ANF",0.15,"C67",602,1832,2.5586592178771,"EXP 3","GSH1"
"171","D",10,2227,1650,537,0.7409,"ANF",0.62,"C67",364,1286,2.39478584729981,"EXP 3","GSH1"
"172","E",10,1659,1153,479,0.695,"ANF",1.2,"C67",468,685,1.43006263048017,"EXP 3","GSH1"
"173","F",10,1351,1376,562,1.019,"ANF",3,"C67",273,1103,1.9626334519573,"EXP 3","GSH1"
"174","G",10,898,537,283,0.598,"ANF",5,"C67",172,365,1.28975265017668,"EXP 3","GSH1"
"175","G",11,1676,665,373,0.3968,"ANF",5,"C58",172,493,1.32171581769437,"EXP 3","GSH1"
"176","F",11,1618,605,333,0.3739,"ANF",3,"C58",273,332,0.996996996996997,"EXP 3","GSH1"
"177","E",11,1263,524,269,0.4149,"ANF",1.2,"C58",468,56,0.20817843866171,"EXP 3","GSH1"
"178","D",11,1926,1303,449,0.6765,"ANF",0.62,"C58",364,939,2.0913140311804,"EXP 3","GSH1"
"179","C",11,1924,2261,653,1.175,"ANF",0.15,"C58",602,1659,2.5405819295559,"EXP 3","GSH1"
"180","B",11,2001,10090,1210,5.042,"ANF",0,"C58",583,9507,7.85702479338843,"EXP 3","GSH1"
"181","B",2,1360,16821,1132,12.37,"ANF",0,"C67",558,16263,14.3666077738516,"EXP 4","GSH1"
"182","C",2,1346,4654,832,3.458,"ANF",0.15,"C67",838,3816,4.58653846153846,"EXP 4","GSH1"
"183","D",2,859,8723,698,10.15,"ANF",0.62,"C67",776,7947,11.3853868194842,"EXP 4","GSH1"
"184","E",2,640,1750,350,2.734,"ANF",1.2,"C67",251,1499,4.28285714285714,"EXP 4","GSH1"
"185","F",2,234,975,170,4.167,"ANF",3,"C67",310,665,3.91176470588235,"EXP 4","GSH1"
"186","G",2,53,85,35,1.604,"ANF",5,"C67",290,0,0,"EXP 4","GSH1"
"187","G",3,105,182,66,1.733,"ANF",5,"C6",290,0,0,"EXP 4","GSH1"
"188","F",3,348,1145,248,3.29,"ANF",3,"C6",310,835,3.36693548387097,"EXP 4","GSH1"
"189","E",3,894,2079,498,2.326,"ANF",1.2,"C6",251,1828,3.67068273092369,"EXP 4","GSH1"
"190","D",3,1232,6466,826,5.248,"ANF",0.62,"C6",776,5690,6.88861985472155,"EXP 4","GSH1"
"191","C",3,1831,4465,946,2.439,"ANF",0.15,"C6",838,3627,3.83403805496829,"EXP 4","GSH1"
"192","B",3,1380,15362,1144,11.13,"ANF",0,"C6",558,14804,12.9405594405594,"EXP 4","GSH1"
"193","B",4,681,558,251,0.8194,"ANF",0,"THP-1",558,0,0,"EXP 4","GSH1"
"194","C",4,1016,838,385,0.8248,"ANF",0.15,"THP-1",838,0,0,"EXP 4","GSH1"
"195","D",4,674,776,298,1.151,"ANF",0.62,"THP-1",776,0,0,"EXP 4","GSH1"
"196","E",4,365,251,108,0.6877,"ANF",1.2,"THP-1",251,0,0,"EXP 4","GSH1"
"197","F",4,306,310,135,1.013,"ANF",3,"THP-1",310,0,0,"EXP 4","GSH1"
"198","G",4,565,290,156,0.5133,"ANF",5,"THP-1",290,0,0,"EXP 4","GSH1"
"199","G",5,126,134,60,1.063,"ANF",5,"REF",290,0,0,"EXP 4","GSH1"
"200","F",5,431,804,259,1.865,"ANF",3,"REF",310,494,1.90733590733591,"EXP 4","GSH1"
"201","E",5,426,790,258,1.854,"ANF",1.2,"REF",251,539,2.08914728682171,"EXP 4","GSH1"
"202","D",5,831,1495,389,1.799,"ANF",0.62,"REF",776,719,1.84832904884319,"EXP 4","GSH1"
"203","C",5,1776,2988,692,1.682,"ANF",0.15,"REF",838,2150,3.10693641618497,"EXP 4","GSH1"
"204","B",5,1736,13080,1272,7.535,"ANF",0,"REF",558,12522,9.84433962264151,"EXP 4","GSH1"
"205","B",6,2016,16489,1474,8.179,"ANF",0,"C85",558,15931,10.8080054274084,"EXP 4","GSH1"
"206","C",6,1699,5668,799,3.336,"ANF",0.15,"C85",838,4830,6.0450563204005,"EXP 4","GSH1"
"207","D",6,1673,5561,821,3.324,"ANF",0.62,"C85",776,4785,5.82825822168088,"EXP 4","GSH1"
"208","E",6,1545,3650,601,2.362,"ANF",1.2,"C85",251,3399,5.65557404326123,"EXP 4","GSH1"
"209","F",6,400,522,189,1.305,"ANF",3,"C85",310,212,1.12169312169312,"EXP 4","GSH1"
"210","G",6,603,1094,326,1.814,"ANF",5,"C85",290,804,2.46625766871166,"EXP 4","GSH1"
"211","G",7,513,810,257,1.579,"ANF",5,"C73",290,520,2.02334630350195,"EXP 4","GSH1"
"212","F",7,627,1070,330,1.707,"ANF",3,"C73",310,760,2.3030303030303,"EXP 4","GSH1"
"213","E",7,1101,1617,496,1.469,"ANF",1.2,"C73",251,1366,2.75403225806452,"EXP 4","GSH1"
"214","D",7,1249,2393,519,1.916,"ANF",0.62,"C73",776,1617,3.11560693641619,"EXP 4","GSH1"
"215","C",7,1638,2914,633,1.779,"ANF",0.15,"C73",838,2076,3.27962085308057,"EXP 4","GSH1"
"216","B",7,1644,16891,1275,10.27,"ANF",0,"C73",558,16333,12.8101960784314,"EXP 4","GSH1"
"217","B",8,1470,19262,1212,13.1,"ANF",0,"C76",558,18704,15.4323432343234,"EXP 4","GSH1"
"218","C",8,1712,4037,795,2.358,"ANF",0.15,"C76",838,3199,4.02389937106918,"EXP 4","GSH1"
"219","D",8,1403,2768,605,1.973,"ANF",0.62,"C76",776,1992,3.29256198347107,"EXP 4","GSH1"
"220","E",8,1127,1012,413,0.898,"ANF",1.2,"C76",251,761,1.84261501210654,"EXP 4","GSH1"
"221","F",8,555,750,262,1.351,"ANF",3,"C76",310,440,1.6793893129771,"EXP 4","GSH1"
"222","G",8,504,800,278,1.587,"ANF",5,"C76",290,510,1.83453237410072,"EXP 4","GSH1"
"223","G",9,409,732,235,1.79,"ANF",5,"C58",290,442,1.88085106382979,"EXP 4","GSH1"
"224","F",9,480,771,255,1.606,"ANF",3,"C58",310,461,1.8078431372549,"EXP 4","GSH1"
"225","E",9,1314,1434,460,1.091,"ANF",1.2,"C58",251,1183,2.57173913043478,"EXP 4","GSH1"
"226","D",9,1606,2254,530,1.403,"ANF",0.62,"C58",776,1478,2.78867924528302,"EXP 4","GSH1"
"227","C",9,1771,2321,502,1.311,"ANF",0.15,"C58",838,1483,2.95418326693227,"EXP 4","GSH1"
"228","B",9,1368,10654,1051,7.788,"ANF",0,"C58",558,10096,9.60608943862988,"EXP 4","GSH1"
"229","B",10,1586,9929,1131,6.26,"ANF",0,"C7",558,9371,8.28558797524315,"EXP 4","GSH1"
"230","C",10,1681,2238,499,1.331,"ANF",0.15,"C7",838,1400,2.80561122244489,"EXP 4","GSH1"
"231","D",10,1753,1599,483,0.9122,"ANF",0.62,"C7",776,823,1.70393374741201,"EXP 4","GSH1"
"232","E",10,889,873,311,0.982,"ANF",1.2,"C7",251,622,2,"EXP 4","GSH1"
"233","F",10,564,592,240,1.05,"ANF",3,"C7",310,282,1.175,"EXP 4","GSH1"
"234","G",10,516,425,208,0.8236,"ANF",5,"C7",290,135,0.649038461538462,"EXP 4","GSH1"
"235","G",11,184,249,96,1.353,"ANF",5,"C44",290,0,0,"EXP 4","GSH1"
"236","F",11,331,451,175,1.363,"ANF",3,"C44",310,141,0.805714285714286,"EXP 4","GSH1"
"237","E",11,413,523,193,1.266,"ANF",1.2,"C44",251,272,1.40932642487047,"EXP 4","GSH1"
"238","D",11,949,1956,446,2.061,"ANF",0.62,"C44",776,1180,2.6457399103139,"EXP 4","GSH1"
"239","C",11,1304,1969,516,1.51,"ANF",0.15,"C44",838,1131,2.19186046511628,"EXP 4","GSH1"
"240","B",11,1292,12417,1022,9.611,"ANF",0,"C44",558,11859,11.6037181996086,"EXP 4","GSH1"
"241","B",2,408,371,94,3.947,"ANF",0,"THP-1",371,0,0,"EXP 1","PGPA"
"242","C",2,1366,1139,296,3.848,"ANF",0.15,"THP-1",1139,0,0,"EXP 1","PGPA"
"243","D",2,957,337,118,2.856,"ANF",0.62,"THP-1",337,0,0,"EXP 1","PGPA"
"244","E",2,1558,383,203,1.887,"ANF",1.2,"THP-1",383,0,0,"EXP 1","PGPA"
"245","F",2,1467,405,250,1.62,"ANF",3,"THP-1",405,0,0,"EXP 1","PGPA"
"246","G",2,1507,409,214,1.911,"ANF",5,"THP-1",409,0,0,"EXP 1","PGPA"
"247","G",3,2060,3385,786,4.307,"ANF",5,"REF",409,2976,3.78625954198473,"EXP 1","PGPA"
"248","F",3,1386,4232,609,6.949,"ANF",3,"REF",405,3827,6.28407224958949,"EXP 1","PGPA"
"249","E",3,2583,3987,778,5.125,"ANF",1.2,"REF",383,3604,4.63239074550129,"EXP 1","PGPA"
