"","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","pop","n_amas.y","corrected_ama","ama_per_cell","experiment","gene"
"172","E",10,723,2834,475,3.92,"SbIII",35,"C67",448,2386,5.02315789473684,"EXP 3","GSH1"
"173","F",10,698,4073,512,5.835,"SbIII",65,"C67",188,3885,7.587890625,"EXP 3","GSH1"
"174","G",10,380,1122,240,2.953,"SbIII",100,"C67",225,897,3.7375,"EXP 3","GSH1"
"175","G",11,349,1011,217,2.897,"SbIII",100,"C58",225,786,3.6221198156682,"EXP 3","GSH1"
"176","F",11,328,1062,222,3.238,"SbIII",65,"C58",188,874,3.93693693693694,"EXP 3","GSH1"
"177","E",11,545,1856,344,3.406,"SbIII",35,"C58",448,1408,4.09302325581395,"EXP 3","GSH1"
"178","D",11,682,2142,393,3.141,"SbIII",25,"C58",437,1705,4.33842239185751,"EXP 3","GSH1"
"179","C",11,1384,5378,819,3.886,"SbIII",10,"C58",436,4942,6.03418803418803,"EXP 3","GSH1"
"180","B",11,1212,5907,794,4.874,"SbIII",0,"C58",358,5549,6.98866498740554,"EXP 3","GSH1"
"181","B",2,1117,13426,953,12.02,"SbIII",0,"C67",333,13093,13.7387198321091,"EXP 4","GSH1"
"182","C",2,990,11967,866,12.09,"SbIII",10,"C67",386,11581,13.3729792147806,"EXP 4","GSH1"
"183","D",2,490,5024,411,10.25,"SbIII",25,"C67",267,4757,11.5742092457421,"EXP 4","GSH1"
"184","E",2,104,269,64,2.587,"SbIII",35,"C67",36,233,3.640625,"EXP 4","GSH1"
"185","F",2,114,209,64,1.833,"SbIII",65,"C67",43,166,2.59375,"EXP 4","GSH1"
"186","G",2,207,457,126,2.208,"SbIII",100,"C67",81,376,2.98412698412698,"EXP 4","GSH1"
"187","G",3,50,58,22,1.16,"SbIII",100,"C6",81,0,0,"EXP 4","GSH1"
"188","F",3,46,46,19,1,"SbIII",65,"C6",43,3,0.157894736842105,"EXP 4","GSH1"
"189","E",3,88,269,52,3.057,"SbIII",35,"C6",36,233,4.48076923076923,"EXP 4","GSH1"
"190","D",3,354,3653,289,10.32,"SbIII",25,"C6",267,3386,11.7162629757785,"EXP 4","GSH1"
"191","C",3,1258,14572,1053,11.58,"SbIII",10,"C6",386,14186,13.4719848053181,"EXP 4","GSH1"
"192","B",3,1092,10331,865,9.461,"SbIII",0,"C6",333,9998,11.5583815028902,"EXP 4","GSH1"
"193","B",4,327,333,128,1.018,"SbIII",0,"THP-1",333,0,0,"EXP 4","GSH1"
"194","C",4,386,386,156,1,"SbIII",10,"THP-1",386,0,0,"EXP 4","GSH1"
"195","D",4,191,267,106,1.398,"SbIII",25,"THP-1",267,0,0,"EXP 4","GSH1"
