"pop","Cntrl_ama_per_cell","X","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","n_amas.y","corrected_ama","ama_per_cell","experiment","gene","viability","mean_value"
"REF",11.9716634679265,11,"C",3,661,4907,408,7.424,"ANF","0.15",215,4692,11.5,"EXP 1","GSH1",96.0601676685107,72.6800283542901
"REF",11.9716634679265,12,"B",3,841,6234,644,7.413,"ANF","0",375,5859,9.09782608695652,"EXP 1","GSH1",75.9946695071299,100
"REF",11.9716634679265,247,"G",3,2060,3385,786,4.307,"ANF","5",409,2976,3.78625954198473,"EXP 1","PGPA",31.6268457773523,22.2940124172225
"REF",11.9716634679265,248,"F",3,1386,4232,609,6.949,"ANF","3",405,3827,6.28407224958949,"EXP 1","PGPA",52.4912203423132,33.9514017102264
"REF",11.9716634679265,249,"E",3,2583,3987,778,5.125,"ANF","1.2",383,3604,4.63239074550129,"EXP 1","PGPA",38.6946288451227,40.6714986545115
"REF",11.9716634679265,250,"D",3,1924,4967,742,6.694,"ANF","0.62",337,4630,6.23989218328841,"EXP 1","PGPA",52.1221816834882,53.9505061893108
"REF",11.9716634679265,251,"C",3,1877,13527,1207,11.21,"ANF","0.15",1139,12388,10.2634631317316,"EXP 1","PGPA",85.7313034168448,72.6800283542901
"REF",11.9716634679265,252,"B",3,1568,17859,1178,15.16,"ANF","0",371,17488,14.8455008488964,"EXP 1","PGPA",124.00533049287,100
"C44",7.59701492537313,73,"B",4,193,1018,134,5.275,"ANF","0",0,1018,7.59701492537313,"EXP 2","GSH1",100,100
"C44",7.59701492537313,74,"C",4,326,1543,198,4.733,"ANF","0.15",158,1385,6.99494949494949,"EXP 2","GSH1",92.074973705622,46.7826372222298
"C44",7.59701492537313,75,"D",4,293,685,158,2.338,"ANF","0.62",127,558,3.53164556962025,"EXP 2","GSH1",46.4872796001094,37.7542604774314
"C44",7.59701492537313,76,"E",4,235,760,151,3.234,"ANF","1.2",75,685,4.5364238410596,"EXP 2","GSH1",59.7132411298612,31.4670731799085
"C44",7.59701492537313,77,"F",4,340,1167,260,3.432,"ANF","3",285,882,3.39230769230769,"EXP 2","GSH1",44.6531660873508,22.617171603547
"C44",7.59701492537313,78,"G",4,244,581,173,2.381,"ANF","5",63,518,2.99421965317919,"EXP 2","GSH1",39.4131074190581,18.2929720430927
"C58",17.2626582278481,85,"B",6,386,5455,316,14.13,"ANF","0",0,5455,17.2626582278481,"EXP 2","GSH1",100,100
"C58",17.2626582278481,86,"C",6,332,1270,222,3.825,"ANF","0.15",158,1112,5.00900900900901,"EXP 2","GSH1",29.0164408221237,51.3172737782159
"C58",17.2626582278481,87,"D",6,329,1756,236,5.337,"ANF","0.62",127,1629,6.90254237288136,"EXP 2","GSH1",39.9853966971679,45.8893676635664
"C58",17.2626582278481,88,"E",6,352,1105,231,3.139,"ANF","1.2",75,1030,4.45887445887446,"EXP 2","GSH1",25.8295935656156,31.1486527627151
"C58",17.2626582278481,89,"F",6,271,402,156,1.483,"ANF","3",285,117,0.75,"EXP 2","GSH1",4.34463794683776,16.991717410048
"C58",17.2626582278481,90,"G",6,448,661,269,1.475,"ANF","5",63,598,2.22304832713755,"EXP 2","GSH1",12.8777868263147,18.7425500119238
"C6",24.4111111111111,79,"G",5,172,331,118,1.924,"ANF","5",63,268,2.27118644067797,"EXP 2","GSH1",9.30390439968217,14.038363725096
"C6",24.4111111111111,80,"F",5,239,1021,187,4.272,"ANF","3",285,736,3.93582887700535,"EXP 2","GSH1",16.1231041843642,20.744208950777
"C6",24.4111111111111,81,"E",5,367,3294,318,8.975,"ANF","1.2",75,3219,10.122641509434,"EXP 2","GSH1",41.4673525648184,48.3651573079312
"C6",24.4111111111111,82,"D",5,347,2702,286,7.787,"ANF","0.62",127,2575,9.0034965034965,"EXP 2","GSH1",36.882780396663,53.149346476579
"C6",24.4111111111111,83,"C",5,296,5370,264,18.14,"ANF","0.15",158,5212,19.7424242424242,"EXP 2","GSH1",80.8747465552198,53.8594736931689
"C6",24.4111111111111,84,"B",5,300,6591,270,21.97,"ANF","0",0,6591,24.4111111111111,"EXP 2","GSH1",100,100
"C67",13.2269230769231,97,"B",8,319,3439,260,10.78,"ANF","0",0,3439,13.2269230769231,"EXP 2","GSH1",100,100
"C67",13.2269230769231,98,"C",8,286,1459,219,5.101,"ANF","0.15",158,1301,5.94063926940639,"EXP 2","GSH1",44.9132366980418,42.4281218649696
"C67",13.2269230769231,99,"D",8,313,763,205,2.438,"ANF","0.62",127,636,3.10243902439024,"EXP 2","GSH1",23.4554854998971,47.7370549418711
"C67",13.2269230769231,100,"E",8,301,1047,211,3.478,"ANF","1.2",75,972,4.60663507109005,"EXP 2","GSH1",34.8277149893402,35.1595940309789
"C67",13.2269230769231,101,"F",8,242,273,131,1.128,"ANF","3",285,0,0,"EXP 2","GSH1",0,19.3381774625679
